Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,  %,% %
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,Fahad Sawad AlShehhi,"Dibba Al Bay Ah, Oman",,4,Friends,,"WrittenJune 20, 2019",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,worldnomad_01,"Los Angeles, California",,2,Couples,,"WrittenJune 1, 2019",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,Vachintha Piyadasa,"Colombo, Sri Lanka",,4,Family,,"WrittenApril 7, 2019",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,My Tropical Journal,"Colombo, Sri Lanka",,3,Couples,,"WrittenFebruary 11, 2019",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,Kalpana Y,"Colombo, Sri Lanka",,4,Family,,"WrittenJanuary 23, 2019",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,SEs,"London, United Kingdom",,4,Business,,"WrittenJanuary 11, 2019",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,itskhairee,"Colombo, Sri Lanka",,4,Solo,,"WrittenSeptember 30, 2018",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,Kushan G,"Colombo, Sri Lanka",,5,Family,,"WrittenSeptember 23, 2018",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,Ibrahim Razvi,"Lahore, Pakistan",,3,Family,,"WrittenAugust 7, 2018",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,Kimmo H,"Helsinki, Finland",,3,Couples,,"WrittenJuly 1, 2018",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,Nilusha Alahakoon,"Colombo, Sri Lanka",,5,Family,,"WrittenJune 20, 2018",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,Modgiltravelsworld,"Cairns, Australia",,1,Friends,,"WrittenMay 24, 2018",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,Dasun Hettiarachchi,"Thalawathugoda, Sri Lanka",,2,Couples,,"WrittenApril 27, 2018",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,ROOPshila’Shaggy,"Kota, India",,3,Family,,"WrittenApril 26, 2018",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,Alexenanna,60contributions,,2,Couples,,"WrittenApril 5, 2018",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,Colin C,"Ottawa, Canada",,3,Business,,"WrittenMarch 15, 2018",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,thilankaxf,"Colombo, Sri Lanka",,5,Missing,,"WrittenMarch 14, 2018",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,GamW2015,"Perth, Australia",,3,Family,,"WrittenFebruary 14, 2018",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,B19 EAK,"Corby, United Kingdom",,3,Family,,"WrittenFebruary 11, 2018",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,Ruwan W,"Ratmalana, Sri Lanka",,3,Family,,"WrittenJanuary 21, 2018",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,1234emma,"England, United Kingdom",,3,Family,,"WrittenJanuary 15, 2018",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,Anisinn,"Melbourne, Australia",,3,Family,,"WrittenDecember 27, 2017",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,Dilantha,"Colombo, Sri Lanka",,3,Friends,,"WrittenDecember 2, 2017",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,kurt v,"Kortrijk, Belgium",,2,Friends,,"WrittenNovember 24, 2017",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,shoma65,"Mumbai, India",,2,Family,,"WrittenOctober 31, 2017",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,Adiel G,91contributions,,3,Couples,,"WrittenOctober 10, 2017",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,maninasuitcase1905,Asia,,3,Missing,,"WrittenSeptember 5, 2017",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,Mahesh S,"Colombo, Sri Lanka",,5,Family,,"WrittenAugust 18, 2017",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,thitsar,"Bangkok, Thailand",,3,Solo,,"WrittenAugust 15, 2017",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,lolitazzz,"Dubai, United Arab Emirates",,4,Missing,,"WrittenAugust 6, 2017",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,nanuchi2017,"Kuala Lumpur, Malaysia",,5,Family,,"WrittenJuly 26, 2017",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,Laxman Mavarkar,India,,3,Family,,"WrittenJuly 15, 2017",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,GamW2015,"Perth, Australia",,3,Family,,"WrittenFebruary 14, 2018",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,B19 EAK,"Corby, United Kingdom",,3,Family,,"WrittenFebruary 11, 2018",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,Ruwan W,"Ratmalana, Sri Lanka",,3,Family,,"WrittenJanuary 21, 2018",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,1234emma,"England, United Kingdom",,3,Family,,"WrittenJanuary 15, 2018",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,Anisinn,"Melbourne, Australia",,3,Family,,"WrittenDecember 27, 2017",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,Dilantha,"Colombo, Sri Lanka",,3,Friends,,"WrittenDecember 2, 2017",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,kurt v,"Kortrijk, Belgium",,2,Friends,,"WrittenNovember 24, 2017",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,shoma65,"Mumbai, India",,2,Family,,"WrittenOctober 31, 2017",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,Adiel G,91contributions,,3,Couples,,"WrittenOctober 10, 2017",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,maninasuitcase1905,Asia,,3,Missing,,"WrittenSeptember 5, 2017",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,Mahesh S,"Colombo, Sri Lanka",,5,Family,,"WrittenAugust 18, 2017",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,thitsar,"Bangkok, Thailand",,3,Solo,,"WrittenAugust 15, 2017",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,lolitazzz,"Dubai, United Arab Emirates",,4,Missing,,"WrittenAugust 6, 2017",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,nanuchi2017,"Kuala Lumpur, Malaysia",,5,Family,,"WrittenJuly 26, 2017",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,Laxman Mavarkar,India,,3,Family,,"WrittenJuly 15, 2017",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,Kaniz K,"Dhaka City, Bangladesh",,3,Friends,,"WrittenJuly 11, 2017",0.0,0.0
https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Unknown,3.3,269,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f0/fd/ae/caption.jpg?w=200&h=200&s=1,Stylstnz,"Auckland Central, New Zealand",,5,Couples,,"WrittenJuly 2, 2017",0.0,0.0
