Column1,Column2,Column3,Column4,Column5
St. Lucia’s Cathedral Colombo,"Cultural, Historical & Religious Sites",Unique Cultural Sites,,
Dutch Hospital Shopping Precinct,"Cultural, Historical & Religious Sites",Unique Cultural Sites,,
Old Parliament Building Colombo,"Cultural, Historical & Religious Sites",Unique Cultural Sites,,
Beira Lake Area,"Cultural, Historical & Religious Sites",Unique Cultural Sites,,
Meemure Village,"Rural, Eco & Hidden Gem Destinations",Main Rural & Hidden Gems,,
Riverston Forest Trails,"Rural, Eco & Hidden Gem Destinations",Main Rural & Hidden Gems,,
Belihuloya Hills,"Rural, Eco & Hidden Gem Destinations",Main Rural & Hidden Gems,,
Ohiya Village,"Rural, Eco & Hidden Gem Destinations",Main Rural & Hidden Gems,,
Rangala Village,"Rural, Eco & Hidden Gem Destinations",Main Rural & Hidden Gems,,
Kalawana Rainforest Area,"Rural, Eco & Hidden Gem Destinations",Main Rural & Hidden Gems,,
Rakwana Village,"Rural, Eco & Hidden Gem Destinations",Main Rural & Hidden Gems,,
Deniyaya,"Rural, Eco & Hidden Gem Destinations",Main Rural & Hidden Gems,,
Madolsima,"Rural, Eco & Hidden Gem Destinations",Main Rural & Hidden Gems,,
Mandaram Nuwara,"Rural, Eco & Hidden Gem Destinations",Main Rural & Hidden Gems,,
Bogawanthalawa,"Rural, Eco & Hidden Gem Destinations",Main Rural & Hidden Gems,,
Maskeliya Rural Trails,"Rural, Eco & Hidden Gem Destinations",Main Rural & Hidden Gems,,
Hapugastalawa,"Rural, Eco & Hidden Gem Destinations",Main Rural & Hidden Gems,,
Sigiriya Village Trails,"Rural, Eco & Hidden Gem Destinations",Main Rural & Hidden Gems,,
Hiriwadunna Village,"Rural, Eco & Hidden Gem Destinations",Main Rural & Hidden Gems,,
Dambana (Vedda Village),"Rural, Eco & Hidden Gem Destinations",Main Rural & Hidden Gems,,
Nilaveli Village Trails,"Rural, Eco & Hidden Gem Destinations",Main Rural & Hidden Gems,,
Panama Village,"Rural, Eco & Hidden Gem Destinations",Main Rural & Hidden Gems,,
Okanda Fishing Village,"Rural, Eco & Hidden Gem Destinations",Main Rural & Hidden Gems,,
Kudumbigala Forest Trails,"Rural, Eco & Hidden Gem Destinations",Main Rural & Hidden Gems,,
Galenbindunuwewa,"Rural, Eco & Hidden Gem Destinations",Additional Rural & Hidden Places,,
Medirigiriya,"Rural, Eco & Hidden Gem Destinations",Additional Rural & Hidden Places,,
Aranayaka,"Rural, Eco & Hidden Gem Destinations",Additional Rural & Hidden Places,,
Kitulgala Village,"Rural, Eco & Hidden Gem Destinations",Additional Rural & Hidden Places,,
Kalpitiya Lagoon Village,"Rural, Eco & Hidden Gem Destinations",Additional Rural & Hidden Places,,
Mannar Island Villages,"Rural, Eco & Hidden Gem Destinations",Additional Rural & Hidden Places,,
Delft Island Village,"Rural, Eco & Hidden Gem Destinations",Additional Rural & Hidden Places,,
Iranamadu Area,"Rural, Eco & Hidden Gem Destinations",Additional Rural & Hidden Places,,
Mullaitivu Lagoon,"Rural, Eco & Hidden Gem Destinations",Additional Rural & Hidden Places,,
Kokilai Fishing Villages,"Rural, Eco & Hidden Gem Destinations",Additional Rural & Hidden Places,,
Kuchchaveli Village,"Rural, Eco & Hidden Gem Destinations",Additional Rural & Hidden Places,,
Kitharana Rural Area,"Rural, Eco & Hidden Gem Destinations",Additional Rural & Hidden Places,,
Moragahapallama,"Rural, Eco & Hidden Gem Destinations",Additional Rural & Hidden Places,,
Wilgamuwa Village,"Rural, Eco & Hidden Gem Destinations",Additional Rural & Hidden Places,,
Padiyathalawa,"Rural, Eco & Hidden Gem Destinations",Additional Rural & Hidden Places,,
Lahugala Village,"Rural, Eco & Hidden Gem Destinations",Additional Rural & Hidden Places,,
Siyambalanduwa,"Rural, Eco & Hidden Gem Destinations",Additional Rural & Hidden Places,,
Monaragala Countryside,"Rural, Eco & Hidden Gem Destinations",Additional Rural & Hidden Places,,
Buttala Rural Fields,"Rural, Eco & Hidden Gem Destinations",Additional Rural & Hidden Places,,
Thanamalwila Village,"Rural, Eco & Hidden Gem Destinations",Additional Rural & Hidden Places,,
Udawalawa Village,"Rural, Eco & Hidden Gem Destinations",Additional Rural & Hidden Places,,
Sevanagala Sugarcane Area,"Rural, Eco & Hidden Gem Destinations",Additional Rural & Hidden Places,,
Inginiyagala,"Rural, Eco & Hidden Gem Destinations",Additional Rural & Hidden Places,,
Bibile,"Rural, Eco & Hidden Gem Destinations",Additional Rural & Hidden Places,,
Maha Oya,"Rural, Eco & Hidden Gem Destinations",Additional Rural & Hidden Places,,
Rambukkana Rural,"Rural, Eco & Hidden Gem Destinations",Additional Rural & Hidden Places,,
Mawanella Rural Hills,"Rural, Eco & Hidden Gem Destinations",Additional Rural & Hidden Places,,
Galaha Village,"Rural, Eco & Hidden Gem Destinations",Additional Rural & Hidden Places,,
Madulkele,"Rural, Eco & Hidden Gem Destinations",Additional Rural & Hidden Places,,
Rattota,"Rural, Eco & Hidden Gem Destinations",Additional Rural & Hidden Places,,
Kilinochchi Countryside,"Rural, Eco & Hidden Gem Destinations",Additional Rural & Hidden Places,,
Omantai,"Rural, Eco & Hidden Gem Destinations",Additional Rural & Hidden Places,,
Vavuniya Nature Spots,"Rural, Eco & Hidden Gem Destinations",Additional Rural & Hidden Places,,
Anuradhapura Lake Villages,"Rural, Eco & Hidden Gem Destinations",Additional Rural & Hidden Places,,
Panduwasnuwara Ruins,"Rural, Eco & Hidden Gem Destinations",Additional Rural & Hidden Places,,
Nikaweratiya,"Rural, Eco & Hidden Gem Destinations",Additional Rural & Hidden Places,,
Alawwa,"Rural, Eco & Hidden Gem Destinations",Additional Rural & Hidden Places,,
Nikadalupotha,"Rural, Eco & Hidden Gem Destinations",Additional Rural & Hidden Places,,
Warakapola,"Rural, Eco & Hidden Gem Destinations",Additional Rural & Hidden Places,,
Arugam Bay Backroads,"Rural, Eco & Hidden Gem Destinations",Additional Rural & Hidden Places,,
Mahawewa Village,"Rural, Eco & Hidden Gem Destinations",Additional Rural & Hidden Places,,
Kongala Forest,"Rural, Eco & Hidden Gem Destinations",Additional Rural & Hidden Places,,
Kataragama Jungle Trails,"Rural, Eco & Hidden Gem Destinations",Additional Rural & Hidden Places,,
Ussangoda National Park,"Rural, Eco & Hidden Gem Destinations",Additional Rural & Hidden Places,,
Weheragala Reservoir Area,"Rural, Eco & Hidden Gem Destinations",Additional Rural & Hidden Places,,
Kuchchaveli Coastal Forest,"Rural, Eco & Hidden Gem Destinations",Additional Rural & Hidden Places,,
Madampe Lagoon,"Rural, Eco & Hidden Gem Destinations",Additional Rural & Hidden Places,,
Rekawa Lagoon,"Rural, Eco & Hidden Gem Destinations",Additional Rural & Hidden Places,,
Galmadugama,"Rural, Eco & Hidden Gem Destinations",Additional Rural & Hidden Places,,
Handapanagala Lake Area,"Rural, Eco & Hidden Gem Destinations",Additional Rural & Hidden Places,,
One Galle Face Mall – Colombo 02,Shopping Malls & Commercial Complexes,Colombo Major Malls,,
Colombo City Centre (CCC) – Colombo 02,Shopping Malls & Commercial Complexes,Colombo Major Malls,,
Crescat Boulevard – Colombo 03,Shopping Malls & Commercial Complexes,Colombo Major Malls,,
Liberty Plaza – Colombo 03,Shopping Malls & Commercial Complexes,Colombo Major Malls,,
Majestic City (MC) – Colombo 04,Shopping Malls & Commercial Complexes,Colombo Major Malls,,
Marino Mall – Colombo 03,Shopping Malls & Commercial Complexes,Colombo Major Malls,,
Arcade Independence Square – Colombo 07,Shopping Malls & Commercial Complexes,Colombo Major Malls,,
Dutch Hospital Shopping Precinct – Colombo Fort,Shopping Malls & Commercial Complexes,Colombo Major Malls,,
Racecourse Shopping Complex – Colombo 07,Shopping Malls & Commercial Complexes,Colombo Major Malls,,
Pettah Market Complex – Colombo 11,Shopping Malls & Commercial Complexes,Colombo Major Malls,,
Unity Plaza – Colombo 04,Shopping Malls & Commercial Complexes,Colombo Major Malls,,
Pettah Floating Market Area,Shopping Malls & Commercial Complexes,Colombo Major Malls,,
Colombo Gold Centre,Shopping Malls & Commercial Complexes,Colombo Major Malls,,
Liberty Arcade,Shopping Malls & Commercial Complexes,Colombo Major Malls,,
Lotus Tower,Modern Urban Attractions,Colombo,,
Galle Face Green,Modern Urban Attractions,Colombo,,
Viharamahadevi Park,Modern Urban Attractions,Colombo,,
Diyatha Uyana (Battaramulla),Modern Urban Attractions,Colombo,,
Parliament Grounds View Area,Modern Urban Attractions,Colombo,,
Beira Lake Walk,Modern Urban Attractions,Colombo,,
Port City Colombo Promenade,Modern Urban Attractions,Colombo,,
Nelum Pokuna Theatre,Modern Urban Attractions,Colombo,,
BMICH,Modern Urban Attractions,Colombo,,
Kandy City Centre (KCC Mall),Modern Urban Attractions,Kandy,,
Odel Mall – Kandy,Modern Urban Attractions,Kandy,,
Kandy Market Hall,Modern Urban Attractions,Kandy,,
Negombo Fish Market Complex,Modern Urban Attractions,Negombo,,
Jaffna Market,Modern Urban Attractions,Jaffna,,
Cargills Square – Jaffna,Modern Urban Attractions,Jaffna,,
Manalkadu Beach,Beaches & Coastal Destinations,North & North-West,4,https://www.tripadvisor.com/Attraction_Review-g304135-d19432961-Reviews-Manalkadu_Beach-Jaffna_Northern_Province.html
Kankesanthurai Beach,Beaches & Coastal Destinations,North & North-West,7,https://www.tripadvisor.com/Attraction_Review-g304135-d19432162-Reviews-Kankesanthurai_Beach-Jaffna_Northern_Province.html
